index,array_name,data_type,ax,az,bx,bz,mx,mz,nx,nz,apparent_resistivity_ohm_m,resistance_ohm,geometric_factor_m,dobs,standard_deviation
95,wenner,apparent_resistivity,160.0,0.0,250.0,0.0,190.0,0.0,220.0,0.0,49.86,0.26451551541873003,188.4955592153876,49.86,2.4930000000000003
96,wenner,apparent_resistivity,150.0,0.0,240.0,0.0,180.0,0.0,210.0,0.0,62.25,0.3302465069156828,188.4955592153876,62.25,3.1125000000000003
97,wenner,apparent_resistivity,140.0,0.0,230.0,0.0,170.0,0.0,200.0,0.0,50.11,0.2658418066111625,188.4955592153876,50.11,2.5055
98,wenner,apparent_resistivity,130.0,0.0,220.0,0.0,160.0,0.0,190.0,0.0,57.08,0.30281880505617953,188.4955592153876,57.08,2.854
99,wenner,apparent_resistivity,120.0,0.0,210.0,0.0,150.0,0.0,180.0,0.0,39.66,0.2104028347674856,188.4955592153876,39.66,1.9829999999999999
100,wenner,apparent_resistivity,110.0,0.0,200.0,0.0,140.0,0.0,170.0,0.0,54.98,0.2916779590397468,188.4955592153876,54.98,2.749
101,wenner,apparent_resistivity,100.0,0.0,190.0,0.0,130.0,0.0,160.0,0.0,47.93,0.2542765474131514,188.4955592153876,47.93,2.3965
102,wenner,apparent_resistivity,90.0,0.0,180.0,0.0,120.0,0.0,150.0,0.0,65.53,0.3476474473603967,188.4955592153876,65.53,3.2765000000000004
103,wenner,apparent_resistivity,80.0,0.0,170.0,0.0,110.0,0.0,140.0,0.0,57.34,0.3041981478963093,188.4955592153876,57.34,2.8670000000000004
104,wenner,apparent_resistivity,70.0,0.0,160.0,0.0,100.0,0.0,130.0,0.0,67.65,0.358894396672224,188.4955592153876,67.65,3.3825000000000003
105,wenner,apparent_resistivity,60.0,0.0,150.0,0.0,90.0,0.0,120.0,0.0,63.93,0.339159183728829,188.4955592153876,63.93,3.1965000000000003
106,wenner,apparent_resistivity,50.0,0.0,140.0,0.0,80.0,0.0,110.0,0.0,67.55,0.35836388019525095,188.4955592153876,67.55,3.3775
107,wenner,apparent_resistivity,40.0,0.0,130.0,0.0,70.0,0.0,100.0,0.0,59.52,0.3157634070943203,188.4955592153876,59.52,2.9760000000000004
108,wenner,apparent_resistivity,30.0,0.0,120.0,0.0,60.0,0.0,90.0,0.0,68.4,0.3628732702495214,188.4955592153876,68.4,3.4200000000000004
109,wenner,apparent_resistivity,20.0,0.0,110.0,0.0,50.0,0.0,80.0,0.0,72.69,0.38563242711166235,188.4955592153876,72.69,3.6345
110,wenner,apparent_resistivity,10.0,0.0,100.0,0.0,40.0,0.0,70.0,0.0,87.3,0.4631408843974154,188.4955592153876,87.3,4.365
111,wenner,apparent_resistivity,0.0,0.0,90.0,0.0,30.0,0.0,60.0,0.0,94.2,0.49974652130855135,188.4955592153876,94.2,4.71
112,wenner,apparent_resistivity,300.0,0.0,420.0,0.0,340.0,0.0,380.0,0.0,65.73,0.261531360235757,251.32741228718345,65.73,3.2865
113,wenner,apparent_resistivity,290.0,0.0,410.0,0.0,330.0,0.0,370.0,0.0,60.78,0.24183593602813497,251.32741228718345,60.78,3.039
114,wenner,apparent_resistivity,280.0,0.0,400.0,0.0,320.0,0.0,360.0,0.0,72.97,0.2903384049353901,251.32741228718345,72.97,3.6485000000000003
115,wenner,apparent_resistivity,270.0,0.0,390.0,0.0,310.0,0.0,350.0,0.0,83.06,0.3304852393303207,251.32741228718345,83.06,4.1530000000000005
116,wenner,apparent_resistivity,260.0,0.0,380.0,0.0,300.0,0.0,340.0,0.0,64.26,0.2556824160771299,251.32741228718345,64.26,3.2130000000000005
117,wenner,apparent_resistivity,250.0,0.0,370.0,0.0,290.0,0.0,330.0,0.0,72.03,0.28659826377273057,251.32741228718345,72.03,3.6015
118,wenner,apparent_resistivity,240.0,0.0,360.0,0.0,280.0,0.0,320.0,0.0,55.29,0.21999192008877233,251.32741228718345,55.29,2.7645
119,wenner,apparent_resistivity,230.0,0.0,350.0,0.0,270.0,0.0,310.0,0.0,45.3,0.18024297305157147,251.32741228718345,45.3,2.265
120,wenner,apparent_resistivity,220.0,0.0,340.0,0.0,260.0,0.0,300.0,0.0,50.68,0.2016493128974314,251.32741228718345,50.68,2.5340000000000003
121,wenner,apparent_resistivity,210.0,0.0,330.0,0.0,250.0,0.0,290.0,0.0,45.28,0.18016339558002553,251.32741228718345,45.28,2.2640000000000002
122,wenner,apparent_resistivity,200.0,0.0,320.0,0.0,240.0,0.0,280.0,0.0,45.84,0.1823915647833121,251.32741228718345,45.84,2.2920000000000003
123,wenner,apparent_resistivity,190.0,0.0,310.0,0.0,230.0,0.0,270.0,0.0,45.77,0.18211304363290126,251.32741228718345,45.77,2.2885000000000004
124,wenner,apparent_resistivity,180.0,0.0,300.0,0.0,220.0,0.0,260.0,0.0,47.88,0.19050846688099873,251.32741228718345,47.88,2.394
125,wenner,apparent_resistivity,170.0,0.0,290.0,0.0,210.0,0.0,250.0,0.0,47.11,0.18744473422647973,251.32741228718345,47.11,2.3555
126,wenner,apparent_resistivity,160.0,0.0,280.0,0.0,200.0,0.0,240.0,0.0,56.95,0.226596850227086,251.32741228718345,56.95,2.8475
